선수명,POS
강승호,3루수.2루수.1루수
김기연,포수
김대한,중견수.좌익수.우익수
김동준,우익수.1루수
김민석,좌익수.1루수
김민혁,1루수
김인태,좌익수.우익수
김재환,좌익수
김준상,유격수.2루수
김호준,투수
류현준,포수
박계범,유격수.3루수.2루수
박민준,포수
박신지,투수
박준순,유격수.3루수.2루수
박준영,유격수.3루수
박지훈,중견수.유격수.3루수.1루수
양석환,1루수
양의지,포수
여동건,3루수.2루수
오명진,유격수.3루수.2루수.1루수
이선우,유격수.2루수
이유찬,좌익수.유격수.우익수.3루수.2루수
임종성,3루수
장승현,포수
전다민,중견수.좌익수.우익수
정수빈,중견수
조수행,중견수.좌익수.우익수
추재현,중견수.좌익수.우익수.1루수
케이브,우익수.1루수
강성우,유격수
고승민,2루수.1루수.좌익수
구승민,투수
김동혁,좌익수.중견수.우익수
김민성,3루수.2루수.1루수
김원중,투수
나승엽,1루수
레이예스,좌익수.우익수
박승욱,유격수.2루수
박재엽,포수
박준우,투수
박진,투수
손성빈,포수
손호영,3루수
유강남,포수
윤동희,우익수.중견수
이인한,좌익수
이태경,2루수
이호준,유격수.2루수
장두성,중견수.우익수
전민재,유격수.3루수.2루수
전준우,좌익수
정보근,포수
정철원,투수
정현수,투수
정훈,1루수.좌익수
조세진,우익수
최항,1루수.2루수
한태양,2루수.유격수.3루수
황성빈,중견수.좌익수
강민호,포수
구자욱,좌익수
김성윤,중견수.우익수.좌익수
김영웅,3루수
김재성,포수
김재혁,중견수
김지찬,중견수
김태근,좌익수.우익수.중견수
김태훈,우익수
김헌곤,우익수
김호진,좌익수
디아즈,1루수
류지혁,2루수.3루수.1루수
박병호,1루수
박승규,우익수.좌익수.중견수
배찬승,투수
심재훈,2루수
안주형,2루수.유격수
양도근,2루수.유격수.3루수.중견수
육선엽,투수
윤정빈,우익수.1루수.좌익수
이병헌,포수
이성규,우익수.좌익수
이재현,유격수
이재희,투수
이창용,1루수
이호성,투수
전병우,3루수.2루수.1루수
함수호,좌익수.우익수.중견수
홍현빈,좌익수.중견수
강진성,1루수
고영우,3루수.2루수
권혁빈,좌익수
김건희,포수
김동엽,좌익수
김동헌,포수
김웅빈,1루수
김재현,포수
김태진,유격수.2루수.3루수
박수종,중견수.좌익수.우익수
박주홍,좌익수.우익수.중견수.1루수
변상권,좌익수.우익수
송성문,3루수.2루수
송지후,2루수.3루수.유격수
어준서,유격수.3루수
여동욱,3루수
오선진,유격수.3루수.1루수.2루수
원성준,좌익수.우익수.중견수
이용규,중견수.좌익수
이원석,1루수
이재상,3루수.유격수
이주형,중견수
이형종,좌익수.우익수
임병욱,중견수.좌익수.우익수
임지열,좌익수.1루수.우익수
장재영,중견수.좌익수.우익수
전태현,2루수.3루수.유격수.좌익수
최주환,1루수
카디네스,우익수.1루수
푸이그,좌익수
권광민,1루수
김서현,투수
김승일,투수
김인환,1루수
