선수명,ERA,G,W,L,SV,HLD,WLCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK
고효준,6.97,17,0,1,0,3,0,10 1/3,14,2,6,0,6,8,8,1.94,0,0,0,0,48,200,0.341,1,0,1,0,0,3,0
곽빈,9,1,0,1,0,0,0,3,1,0,4,1,6,3,3,1.67,0,0,0,0,15,66,0.111,1,0,0,1,0,2,0
김명신,5.4,8,0,0,0,0,,8 1/3,13,0,3,1,6,8,5,1.92,0,0,0,0,43,202,0.342,3,1,0,1,0,1,0
김민규,0,6,1,0,0,0,1,6 2/3,4,0,4,3,5,0,0,1.2,0,0,0,0,31,141,0.174,1,0,0,1,0,0,0
김유성,9,5,0,2,0,0,0,13,13,2,11,3,14,13,13,1.85,0,0,0,0,64,288,0.26,1,0,0,0,0,1,0
김정우,3.38,4,0,0,0,0,,5 1/3,7,0,2,1,4,3,2,1.69,0,0,0,0,28,91,0.304,0,0,2,0,0,1,0
김택연,2.89,25,0,0,8,0,,28,18,3,9,1,34,13,9,0.96,0,0,0,3,112,475,0.184,2,0,3,1,0,3,0
박정수,6.35,15,1,0,0,2,1,11 1/3,16,0,6,1,7,9,8,1.94,0,0,0,0,56,195,0.364,2,0,3,2,1,0,0
박치국,3.54,32,1,1,1,4,0.5,28,29,1,7,4,29,16,11,1.29,0,0,0,1,123,477,0.266,7,0,2,1,0,0,0
양재훈,5.19,6,0,0,0,0,,8 2/3,9,0,3,0,6,5,5,1.38,0,0,0,0,38,150,0.265,3,0,0,1,0,0,0
이영하,3.68,30,3,3,0,4,0.5,29 1/3,27,2,16,1,32,12,12,1.47,0,0,0,2,129,488,0.248,5,0,3,0,0,4,0
잭로그,3.13,12,3,5,0,0,0.375,72,54,1,20,5,72,28,25,1.03,0,0,7,0,291,1086,0.208,10,1,5,1,0,2,0
최민석,2.57,3,1,1,0,0,0.5,14,9,0,9,0,9,6,4,1.29,0,0,0,0,60,249,0.176,2,0,0,0,0,2,0
최승용,3.86,11,3,3,0,0,0.5,58 1/3,56,5,21,4,42,25,25,1.32,0,0,5,0,251,978,0.249,9,0,1,0,0,2,0
최종인,5.4,3,0,0,0,0,,1 2/3,1,0,3,0,5,1,1,2.4,0,0,0,0,9,46,0.167,0,0,0,0,0,2,0
최준호,8.62,8,1,2,0,0,0.333,15 2/3,18,4,9,2,10,15,15,1.72,0,0,0,0,73,301,0.295,5,0,0,1,0,2,0
최지강,4.66,21,2,3,0,3,0.4,19 1/3,19,2,3,1,23,10,10,1.14,0,0,0,3,80,303,0.257,2,0,2,0,0,1,0
콜어빈,4.28,12,5,5,0,0,0.5,67 1/3,53,2,35,11,54,36,32,1.31,0,0,7,0,292,1102,0.226,8,2,7,5,0,2,0
홍민규,4.45,16,2,1,1,0,0.667,28 1/3,30,4,11,1,17,16,14,1.45,0,0,0,0,126,492,0.268,6,0,0,2,0,4,0
감보아,3.09,2,1,1,0,0,0.5,11 2/3,7,0,2,2,15,4,4,0.77,0,0,1,0,47,188,0.163,0,0,0,0,0,1,0
김강현,3.73,29,1,2,0,0,0.333,31 1/3,26,3,13,3,21,17,13,1.24,0,0,0,0,137,570,0.218,5,0,1,1,0,1,0
김진욱,8.51,10,1,3,0,0,0.25,24 1/3,31,7,14,1,23,24,23,1.85,0,0,1,1,115,461,0.32,5,0,2,1,0,0,0
나균안,4.94,11,0,3,0,0,0,54 2/3,64,6,30,2,41,35,30,1.72,0,0,2,0,259,1015,0.286,8,0,2,1,0,3,0
박세웅,3.69,13,8,4,0,0,0.667,78,71,4,31,6,85,37,32,1.31,0,0,7,0,340,1323,0.238,17,1,4,1,0,7,1
박세현,14.73,3,0,0,0,0,,3 2/3,8,1,1,1,4,6,6,2.45,0,0,0,0,21,65,0.421,5,0,0,0,0,0,0
박시영,9.95,10,1,0,0,0,1,6 1/3,7,0,8,1,8,7,7,2.37,0,0,0,0,35,145,0.269,2,0,0,0,0,0,0
박진형,16.88,4,0,0,0,0,,2 2/3,6,1,3,0,3,5,5,3.38,0,0,0,0,17,65,0.429,2,0,0,0,0,0,0
반즈,5.32,8,3,4,0,0,0.429,45 2/3,47,4,17,2,38,31,27,1.4,0,0,3,0,204,761,0.258,14,2,2,1,0,2,0
송재영,4.15,34,1,0,0,3,1,17 1/3,9,2,17,0,18,8,8,1.5,0,0,0,0,76,303,0.155,2,0,1,0,0,2,0
